,Time,for,Jama'at,,2 a,,,,,Time Begins,,,,
Isha,Magh,Asr,Zuhr,Fajr,w a a,Isha,Sunset,Asr,Zuhr,Sunrise,Sehri Ends & Fajr,Jamadal Ukhra & Rajab,Day,Feb
7.45,4.54,3.45,1.00,7.00,11.23,6.54,4.54,3.05,12.23,7.51,5.52,18,Mon,1
7.45,4.56,3.45,1.00,7.00,11.23,6.55,4.56,3.06,12.23,7.50,5.51,19,Tue,2
7.45,4.58,3.45,1.00,7.00,11.23,6.57,4.58,3.08,12.23,7.48,5.49,20,Wed,3
7.45,5.00,3.45,1.00,7.00,11.24,6.59,5.00,3.10,12.23,7.46,5.48,21,Thu,4
7.45,5.02,3.45,12.45,7.00,11.24,7.00,5.02,3.12,12.23,7.44,5.46,22,Fri,5
7.45,5.04,4.00,1.00,6.45,11.24,7.02,5.04,3.14,12.23,7.43,5.45,23,Sat,6
7.45,5.06,4.00,1.00,6.45,11.24,7.04,5.06,3.15,12.24,7.41,5.43,24,Sun,7
7.45,5.08,4.00,1.00,6.45,11.24,7.06,5.08,3.17,12.24,7.39,5.42,25,Mon,8
7.45,5.10,4.00,1.00,6.45,11.25,7.07,5.10,3.19,12.24,7.37,5.40,26,Tue,9
7.45,5.12,4.00,1.00,6.45,11.25,7.09,5.12,3.21,12.24,7.35,5.38,27,Wed,10
7.45,5.14,4.00,1.00,6.45,11.25,7.11,5.14,3.23,12.24,7.33,5.37,28,Thu,11
7.45,5.16,4.00,12.45,6.45,11.25,7.13,5.16,3.25,12.24,7.31,5.35,29,Fri,12
8.00,5.18,4.00,1.00,6.30,11.25,7.14,5.18,3.26,12.24,7.29,5.33,30 or 1,Sat,13
8.00,5.20,4.00,1.00,6.30,11.25,7.16,5.20,3.28,12.24,7.27,5.31,1,Sun,14
8.00,5.22,4.00,1.00,6.30,11.25,7.18,5.22,3.30,12.24,7.25,5.29,2,Mon,15
8.00,5.24,4.00,1.00,6.30,11.25,7.20,5.24,3.32,12.24,7.23,5.27,3,Tue,16
8.00,5.26,4.00,1.00,6.30,11.25,7.22,5.26,3.34,12.23,7.21,5.25,4,Wed,17
8.00,5.28,4.00,1.00,6.30,11.25,7.23,5.28,3.35,12.23,7.19,5.24,5,Thu,18
8.00,5.30,4.00,12.45,6.30,11.25,7.25,5.30,3.37,12.23,7.16,5.22,6,Fri,19
8.00,5.32,4.15,1.00,6.15,11.25,7.27,5.32,3.39,12.23,7.14,5.19,7,Sat,20
8.00,5.34,4.15,1.00,6.15,11.25,7.29,5.34,3.41,12.23,7.12,5.17,8,Sun,21
8.00,5.36,4.15,1.00,6.15,11.25,7.31,5.36,3.42,12.23,7.10,5.15,9,Mon,22
8.00,5.38,4.15,1.00,6.15,11.25,7.33,5.38,3.44,12.23,7.08,5.13,10,Tue,23
8.00,5.40,4.15,1.00,6.15,11.25,7.34,5.40,3.46,12.23,7.05,5.11,11,Wed,24
8.00,5.42,4.15,1.00,6.15,11.25,7.36,5.42,3.48,12.22,7.03,5.09,12,Thu,25
8.00,5.44,4.15,12.45,6.15,11.25,7.38,5.44,3.49,12.22,7.01,5.07,13,Fri,26
8.15,5.45,4.30,1.00,6.00,11.24,7.40,5.45,3.51,12.22,6.59,5.04,14,Sat,27
8.15,5.47,4.30,1.00,6.00,11.24,7.42,5.47,3.53,12.22,6.56,5.02,15,Sun,28